componentSlug,componentName,componentId,fieldName,fieldType,baseValue,variants,notes,risk,coverage
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleAngularVelocity,float,omitted,"7, 5",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleAngularVelocityVariation,float,omitted,"3, 1",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleImage,asset,omitted,"@../../../../Sonic_explosion_(atlas).png@, @../../Sonic_explosion_(atlas).png@",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleLifeSpan,double,omitted,"3, 2",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleLifeSpanVariation,double,omitted,"0.7, 0.5",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleMass,float,omitted,"2, 7",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleMassVariation,float,omitted,1,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleSize,float,omitted,"0.04, 0.03",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleSizeVariation,float,omitted,"0.02, 0.01",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleSpeed,float,omitted,1,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,particleSpeedVariation,float,omitted,0.5,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,radialAmount,float,omitted,"3.1415927, 4.712389, 1.5707964",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,radialGravityCenter,float3,omitted,"(2, 3, 1), (0, 0, 1)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,radialGravityStrength,float,omitted,"1, 4",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,rowCount,int64,omitted,"5, 6",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,shapeSize,float3,omitted,"(0.5, 0.25, 0.3)",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,sizeMultiplierAtEndOfLifespan,float,omitted,"0.3, 0.7",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,sizeMultiplierAtEndOfLifespanPower,float,omitted,"3, 2",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,sortOrder,token,omitted,"""DecreasingAge"", ""DecreasingDepth"", ""DecreasingID""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,spawnInheritParentColor,bool,omitted,1,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,spawnOccasion,token,omitted,"""OnBirth"", ""OnUpdate""",Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,spawnSpreadFactor,float,omitted,0.017453292,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,spawnSpreadFactorVariation,float,omitted,0.04363323,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,spawnVelocityFactor,float,omitted,2,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,spreadingAngle,float,omitted,0.05235988,Not authored in baseline fixture.,High,Observed
particle-emitter-component,ParticleEmitterComponent,RealityKit.VFXEmitter,startColorA,float4,omitted,"(1, 0.046666723, 0.37124115, 1), (0.10755565, 0.29358652, 0, 1)",Not authored in baseline fixture.,High,Observed
